Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset
21,link,3.5,1,-385.33088131247337,16.361789647868548,0.0,-403.0035893996048,506.88199668721825,0.0
22,link,3.5,1,-407.085910543331,506.2578541402391,0.0,-394.4407998028952,15.41000711901863,0.0
23,link,3.5,1,-390.4977007548022,65.85448114806927,0.0,-389.2739803605664,15.681944984404339,0.0
24,link,3.5,1,-398.5677968324552,55.82677236197105,0.0,-398.2479299182952,15.138069253632906,0.0
25,link,3.5,1,-379.8921240047591,-58.557092265896614,0.0,-379.076310408602,-28.64392707346766,0.0
26,link,3.5,1,-388.4581667644092,-84.3911894775398,0.0,-388.05025996633066,-28.507958140774804,0.0
27,link,3.5,1,-528.0982606399753,-12.055717284938865,0.0,-402.8708736298522,-9.336338631081688,0.0
28,link,3.5,1,-295.45541680249374,-1.0422337368172947,0.0,-373.3656152355019,-2.6738609291315925,0.0
29,link,10.5,3,-808.9427803336122,-0.05461194805741432,0.0,-1187.773202593098,5.9276805930320515,0.0
30,link,10.5,3,-1188.371955228133,-13.788110698539459,0.0,-805.3389144007145,-20.042692063803194,0.0
31,link,3.5,1,-790.7902386025786,12.282721667082889,0.0,-796.9356094573814,721.6951042541833,0.0
32,link,3.5,1,-801.1234808005299,721.9618105024321,0.0,-798.07777670821,12.312756991862557,0.0
33,link,3.5,1,-804.8218357697757,49.078756392011606,0.0,-804.16918489285,12.42153213801684,0.0
34,link,3.5,1,-796.5549246620499,61.91422363821749,0.0,-794.5969720312727,11.98643155339969,0.0
35,link,3.5,1,-782.867951974855,-304.5254491923547,0.0,-787.1169811215069,-31.737777977306507,0.0
36,link,3.5,1,-795.1901365001454,-30.887972147976114,0.0,-788.1792384081699,-304.95035210701985,0.0
37,link,3.5,1,-779.2562772002009,-68.06697718117977,0.0,-780.743437401529,-31.52532651997393,0.0
38,link,3.5,1,-786.6920782068416,-86.97515688378044,0.0,-791.3660102681587,-31.312875062641353,0.0
39,link,3.5,1,-927.3349429610176,-11.342438073377693,0.0,-805.5906720996876,-12.690366087628341,0.0
40,link,3.5,1,-707.040117746038,-6.744648614368629,0.0,-778.6515553720495,-8.449359108005355,0.0
41,link,10.5,3,-1451.9070443148892,-14.323779882321643,0.0,-1218.5176037484553,-13.864562836484557,0.0
42,link,3.5,1,-1318.062557389089,-5.807168367388471,0.0,-1218.7160409034548,-6.622981963545623,0.0
43,link,3.5,1,-1207.961714141046,-27.97010439632453,0.0,-1206.7040015136374,-251.54147847783153,0.0
44,link,3.5,1,-1201.7491023999978,-253.03268023617997,0.0,-1199.871562645821,-27.66417429776564,0.0
45,link,3.5,1,-1195.4525723333034,-68.96473760322164,0.0,-1194.2628441722406,-28.174057795363865,0.0
46,link,3.5,1,-1203.780669460741,-68.45485410562341,0.0,-1203.9506306266069,-27.49421313189957,0.0
47,link,3.5,1,-1200.848839349551,21.624563803395816,0.0,-1204.4631697674222,604.9193346612885,0.0
48,link,3.5,1,-1208.414766873808,604.7168418660184,0.0,-1208.3696209391253,21.11468030579759,0.0
49,link,3.5,1,-1213.0860432919092,52.005122201956745,0.0,-1213.5109462065743,20.562306516733052,0.0
50,link,3.5,1,-1204.2990510166333,69.78306015154797,0.0,-1204.435019949326,19.664911560960142,0.0
51,link,10.5,3,-1219.965189081246,6.113827627961173,0.0,-1450.0372754800994,2.723084058356778,0.0
52,link,3.5,1,-1027.2505045339442,13.151999684972196,0.0,-1188.5011606493817,15.276514258298128,0.0
53,link,3.5,1,-1113.930699125642,-0.6573450416462805,0.0,-1188.4549312122663,-1.719602328309243,0.0
10000,connector,3.5,1,100.58817900032558,14.033100713775246,0.0,61.71641069542964,18.848072894597244,0.0
10001,connector,3.5,1,144.33732984845383,6.776356656324023,0.0,107.56765064690659,3.0792766635869246,0.0
10002,connector,3.5,1,14.485966183723447,-94.89209780704942,0.0,20.238794424725956,-61.82581929843794,0.0
10003,connector,3.5,1,-120.76464265707719,-12.354515202198284,0.0,-84.97218892885732,-16.92927826713748,0.0
10004,connector,3.5,1,-232.02547462017128,-8.221836058518669,0.0,-181.99020555434848,-2.3588352525713816,0.0
10005,connector,3.5,1,-13.717574226479176,83.56976015300762,0.0,-18.96826706272016,55.83353280011627,0.0
10006,connector,7.0,2,-7.0430087581995355,179.85554718841274,0.0,-0.8761360396362237,127.24720275483149,0.0
10007,connector,7.0,2,8.958287015127196,-156.8798867110299,0.0,2.8562257857550657,-107.44370800732798,0.0
10008,connector,3.5,1,27.11201428565517,3.2961894287263065,0.0,-7.33575857031496,-25.175826780322375,0.0
10009,connector,3.5,1,-25.374029815433857,-0.04177967387595144,0.0,9.59273416096031,29.00988291954007,0.0
10010,connector,7.0,2,1.808570068901989,26.074373272818796,0.0,27.47784712245613,-4.966776854171546,0.0
