,Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset,flow,intersection,Start Lat,Start Lon,Start Alt,End Lat,End Lon,End Alt
60,10007,connector,7.0,2,8.958287015127196,-156.8798867110299,0.0,2.8562257857550657,-107.44370800732798,0.0,ib,4,-6.2643447928373766,36.24108632214043,540.1119416402653,-6.264412671728932,36.24153180189041,540.110908428207
61,10008,connector,3.5,1,27.11201428565517,3.2961894287263065,0.0,-7.33575857031496,-25.17582678032237,0.0,0,0,-6.264142845995602,36.24252970169694,540.1100583896041,-6.264526048347128,36.242273134822206,540.110054041259
62,10009,connector,3.5,1,-25.374029815433857,-0.0417796738759514,0.0,9.59273416096031,29.00988291954007,0.0,ob,4,-6.26472670916371,36.242499622614694,540.1100503932685,-6.264337732997192,36.242761413430536,540.1100733680651
63,10010,connector,7.0,2,1.808570068901989,26.0743732728188,0.0,27.47784712245613,-4.966776854171546,0.0,ob,4,-6.264424325564753,36.242734960993374,540.1100537041202,-6.264138776701639,36.2424552423895,540.1100610392168
64,10011,connector,7.0,2,0.8643700867387552,-23.05466864148576,0.0,-27.84859750241537,8.830026636671649,0.0,ob,4,-6.264434829080342,36.24229224904476,540.1100418390706,-6.264754236961361,36.24257956822639,540.1100668357685
65,10012,connector,3.5,1,26.833095326848483,18.90404258364537,0.0,16.50089508366422,32.12445803157665,0.0,ob,4,-6.264145948200618,36.24267034729306,540.1100844601169,-6.264260885201031,36.24278947941608,540.1101024542004
66,10013,connector,3.5,1,21.777857482029063,-22.28533483779431,0.0,29.86312074566171,-10.199122493397642,0.0,ob,4,-6.2642021847333025,36.24229918142601,540.110076171346,-6.264112242755265,36.24240809257023,540.1100779892877
67,10014,connector,3.5,1,-19.28162161034808,26.96216481134354,0.0,-31.84078042854554,13.983445239113674,0.0,ob,4,-6.264658936916483,36.242742960875525,540.1100862594321,-6.264798646890136,36.24262600662251,540.1100947381929
68,10015,connector,3.5,1,-24.68006255423645,-15.601558661640423,0.0,-14.280023507573684,-27.85178776719768,0.0,ob,4,-6.264718988871842,36.24235941024657,540.1100668152794,-6.264603297176516,36.24224902110608,540.110076950863
69,10016,connector,10.5,3,27.490125141545853,10.1792218615548,0.0,-27.92746952877297,10.578616172297602,0.0,ob,4,-6.264138639587443,36.242591726113496,540.1100673004985,-6.264755114409502,36.2425953251256,540.110069848597
70,10017,connector,10.5,3,-10.51072008350308,25.67375209389975,0.0,-10.84851252429576,-24.61813795735953,0.0,ob,4,-6.2645613677015115,36.24273135085784,540.1100604664534,-6.264565124672465,36.24227816023863,540.1100568566471
71,10018,connector,10.5,3,12.060923803862345,-21.92554804896052,0.0,13.107298599927407,28.586320208662507,0.0,ob,4,-6.26431027715825,36.24230242370928,540.1100491769612,-6.264298636303438,36.242757596578315,540.1100776940584
72,10019,connector,10.5,3,-25.20291407761499,-7.313202278133211,0.0,26.980755336979183,-6.720535223912674,0.0,ob,4,-6.26472480541119,36.242434098326825,540.1100539211184,-6.264144306486545,36.24243943892422,540.1100605307147
73,10020,connector,3.5,1,-396.0993805109745,84.61534945729511,0.0,-390.4810291355652,65.17094475935062,0.0,ib,3,-6.268850759384856,36.243262404643126,540.1228469889611,-6.268788249653862,36.24308718939945,540.1222719522193
74,10021,connector,3.5,1,-394.90716771054497,74.27404798632661,0.0,-398.5656012789132,55.72534959956388,0.0,ib,3,-6.268837491677707,36.24316921753738,540.1226439420134,-6.268878179578102,36.243002069898075,540.1226816000417
75,10022,connector,3.5,1,-384.70238325444745,-88.57662959053563,0.0,-379.8619328156845,-58.27404986832197,0.0,ib,3,-6.268723891079341,36.2417017405258,540.1222042143345,-6.268670060388511,36.241974805278176,540.1215645261109
76,10023,connector,3.5,1,-386.3366185859964,-114.611536115218,0.0,-388.4541898361168,-83.84635030148078,0.0,ib,3,-6.268742057543859,36.241467133915165,540.1227188622579,-6.268765628690757,36.24174436455544,540.1223671883345
77,10024,connector,3.5,1,-559.422484346398,-16.071163202326634,0.0,-527.6841185819374,-12.032450877183928,0.0,ib,3,-6.27066753712986,36.242355017007995,540.1345228049904,-6.270314477906064,36.242391428523966,540.1318124877289
