-112.136161,33.661389,-12655.121917,-112.136161,33.661389,-12655.121917
-112.135870,33.661416,-12655.140469,-112.127587,33.661388,-12655.072394
-112.127601,33.661415,-12655.091166,-112.135875,33.661389,-12655.121862
-112.136458,33.661416,-12655.140467,-112.140202,33.661389,-12655.110913
-112.140191,33.661416,-12655.129585,-112.136424,33.661389,-12655.121870
-112.136019,33.661416,-12655.140513,-112.136109,33.661389,-12655.121915
-112.136293,33.661416,-12655.140515,-112.136274,33.661389,-12655.121908
-112.136278,33.661416,-12655.140517,-112.136229,33.661389,-12655.121914
-112.136052,33.661416,-12655.140519,-112.136030,33.661389,-12655.121905
-112.135491,33.661398,-12655.127818,-112.135876,33.661389,-12655.121862
-112.134996,33.661398,-12655.127207,-112.135870,33.661389,-12655.121860
-112.135942,33.661398,-12655.128088,-112.135925,33.661389,-12655.121879
-112.137082,33.661398,-12655.127548,-112.136420,33.661389,-12655.121872
-112.138127,33.661398,-12655.125516,-112.136434,33.661389,-12655.121867
-112.136366,33.661398,-12655.128092,-112.136369,33.661389,-12655.121888
-112.136129,33.661407,-12655.134323,-112.136152,33.661389,-12655.121917
-112.136171,33.661407,-12655.134323,-112.136141,33.661389,-12655.121917
-112.144550,33.661415,-12655.093110,-112.140513,33.661389,-12655.109157
-112.140532,33.661416,-12655.127653,-112.144582,33.661388,-12655.074142
-112.140347,33.661398,-12655.116312,-112.140311,33.661389,-12655.110315
-112.140395,33.661398,-12655.116039,-112.140393,33.661389,-12655.109849
-112.140324,33.661398,-12655.116445,-112.140515,33.661389,-12655.109146
-112.140559,33.661398,-12655.115090,-112.140422,33.661389,-12655.109683
-112.140379,33.661398,-12655.116130,-112.140366,33.661389,-12655.110002
-112.140467,33.661398,-12655.115629,-112.140463,33.661389,-12655.109446
-112.140265,33.661398,-12655.116773,-112.140256,33.661389,-12655.110618
-112.140357,33.661398,-12655.116255,-112.140353,33.661389,-12655.110077
-112.141866,33.661398,-12655.106191,-112.140513,33.661389,-12655.109155
-112.139353,33.661398,-12655.121256,-112.140194,33.661389,-12655.110956
-112.144900,33.661415,-12655.089072,-112.148993,33.661388,-12655.010986
-112.148999,33.661415,-12655.029483,-112.144861,33.661388,-12655.070920
-112.144704,33.661397,-12655.078949,-112.144770,33.661388,-12655.071979
-112.144816,33.661397,-12655.077656,-112.144783,33.661388,-12655.071835
-112.144855,33.661397,-12655.077189,-112.144848,33.661388,-12655.071068
-112.144766,33.661397,-12655.078230,-112.144745,33.661388,-12655.072271
-112.144618,33.661397,-12655.079929,-112.144664,33.661388,-12655.073202
-112.144751,33.661397,-12655.078401,-112.144676,33.661388,-12655.073070
-112.144579,33.661397,-12655.080373,-112.144595,33.661388,-12655.073987
-112.144660,33.661397,-12655.079458,-112.144710,33.661388,-12655.072674
-112.146179,33.661397,-12655.060503,-112.144864,33.661388,-12655.070888
-112.143799,33.661398,-12655.088813,-112.144573,33.661388,-12655.074244
-112.151846,33.661415,-12654.974772,-112.149325,33.661388,-12655.005169
-112.150400,33.661397,-12654.991518,-112.149327,33.661388,-12655.005131
-112.149211,33.661397,-12655.013386,-112.149197,33.661388,-12655.007421
-112.149144,33.661397,-12655.014563,-112.149123,33.661388,-12655.008714
-112.149076,33.661397,-12655.015750,-112.149063,33.661388,-12655.009770
-112.149165,33.661397,-12655.014179,-112.149167,33.661388,-12655.007943
-112.149134,33.661397,-12655.014733,-112.149173,33.661388,-12655.007846
-112.149216,33.661397,-12655.013300,-112.149215,33.661388,-12655.007105
-112.149266,33.661397,-12655.012410,-112.149271,33.661388,-12655.006126
-112.149171,33.661397,-12655.014081,-112.149173,33.661388,-12655.007852
-112.149340,33.661415,-12655.023501,-112.151826,33.661388,-12654.956589
-112.147258,33.661397,-12655.045147,-112.149000,33.661388,-12655.010850
-112.148195,33.661397,-12655.030553,-112.149000,33.661388,-12655.010858
-112.135074,33.661398,-12655.127325,-112.135494,33.661389,-12655.121617
-112.134602,33.661398,-12655.126482,-112.134999,33.661389,-12655.121007
-112.136004,33.661398,-12655.128104,-112.135942,33.661389,-12655.121885
-112.137466,33.661398,-12655.126973,-112.137079,33.661389,-12655.121349
-112.138667,33.661398,-12655.123887,-112.138127,33.661389,-12655.119313
-112.136309,33.661398,-12655.128105,-112.136366,33.661389,-12655.121889
-112.136237,33.661407,-12655.134320,-112.136170,33.661389,-12655.121917
