log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,regionalId,intersectionId,msgCount,moy,msom,v1_currState,v1_minEndTime,v1_maxEndTime,v1_elapsedTime,v2_currState,v2_minEndTime,v2_maxEndTime,v2_elapsedTime,v3_currState,v3_minEndTime,v3_maxEndTime,v3_elapsedTime,v4_currState,v4_minEndTime,v4_maxEndTime,v4_elapsedTime,v5_currState,v5_minEndTime,v5_maxEndTime,v5_elapsedTime,v6_currState,v6_minEndTime,v6_maxEndTime,v6_elapsedTime,v7_currState,v7_minEndTime,v7_maxEndTime,v7_elapsedTime,v8_currState,v8_minEndTime,v8_maxEndTime,v8_elapsedTime,p1_currState,p1_minEndTime,p1_maxEndTime,p1_elapsedTime,p2_currState,p2_minEndTime,p2_maxEndTime,p2_elapsedTime,p3_currState,p3_minEndTime,p3_maxEndTime,p3_elapsedTime,p4_currState,p4_minEndTime,p4_maxEndTime,p4_elapsedTime,p5_currState,p5_minEndTime,p5_maxEndTime,p5_elapsedTime,p6_currState,p6_minEndTime,p6_maxEndTime,p6_elapsedTime,p7_currState,p7_minEndTime,p7_maxEndTime,p7_elapsedTime,p8_currState,p8_minEndTime,p8_maxEndTime,p8_elapsedTime,int
24:14.6,1650659055,24:14.6,1650659055,0,26679,27,160644,14593,red,100,361,154,red,230,661,154,permissive_yellow,50,311,139,green,50,311,139,red,100,361,154,red,230,661,154,permissive_yellow,50,311,139,green,50,311,139,do_not_walk,0,0,154,do_not_walk,230,230,154,do_not_walk,0,0,154,do_not_walk,0,0,154,do_not_walk,0,0,154,do_not_walk,230,230,154,do_not_walk,0,0,154,do_not_walk,0,0,154,1
44673.5585,1650659055,44673.5585,1650659055,0,26379,21,160644,14593,permissive_yellow,34,193,148,green,34,193,148,red,0,0,148,red,84,243,148,permissive_yellow,34,193,148,green,34,193,148,red,0,0,148,red,84,243,148,do_not_walk,0,0,148,do_not_walk,234,234,148,do_not_walk,0,0,148,do_not_walk,84,84,148,do_not_walk,0,0,148,do_not_walk,364,364,148,do_not_walk,0,0,148,do_not_walk,84,84,148,2
44673.5585,1650659055,44673.5585,1650659055,0,26593,28,160644,14592,permissive_yellow,14,179,155,green,14,179,155,red,0,0,155,red,64,229,155,permissive_yellow,14,179,155,green,14,179,155,red,0,0,155,red,64,229,155,do_not_walk,0,0,155,do_not_walk,344,344,155,do_not_walk,0,0,155,do_not_walk,64,64,155,do_not_walk,0,0,155,do_not_walk,214,214,155,do_not_walk,0,0,155,do_not_walk,64,64,155,3
